id,parents,labels
DESC805509,DESC146102,Zanzibar
DESC154052,DESC154021,Egypte
DESC154053,DESC154052,Alexandrie
DESC874709,DESC154052,Antinoe
DESC944123,DESC154052,Héliopolis
DESC154054,DESC154052,Le Caire
DESC899899,DESC154052,Port-Saïd
DESC860262,DESC154021,Iles des Comores
DESC862260,DESC154021,Iles des Seychelles
DESC154022,DESC154021,Iles du Cap-Vert
DESC149078,DESC154021,Maghreb
DESC154060,DESC149078,Algérie
DESC140889,DESC154060,Alger
DESC149216,DESC154060,Bechar
DESC146449,DESC154060,Bou Saada
DESC901344,DESC154060,Constantine
DESC138313,DESC154060,Kabylie
DESC146440,DESC154060,Oran
DESC137693,DESC154060,Tlemcen
DESC149079,DESC149078,Libye
DESC154063,DESC149078,Maroc
DESC149107,DESC154063,Atlas (Maroc)
DESC1162869,DESC154063,Essaouira
DESC153516,DESC154063,Fès
DESC67279,DESC154063,Haut-Atlas
DESC141634,DESC154063,Ichebakenne
DESC151250,DESC154063,Marrakech
DESC901351,DESC154063,Rabat
DESC1162894,DESC154063,Salé
DESC149080,DESC149078,Mauritanie
DESC154069,DESC149078,Tunisie
DESC846756,DESC154069,Sfax
DESC901348,DESC154069,Tunis
DESC816016,DESC154021,Océan Indien
DESC138241,DESC816016,Ile Maurice
DESC1116020,DESC816016,Iles Cocos
DESC862260,DESC816016,Iles des Seychelles
DESC151342,DESC816016,La Réunion (région et département)
DESC146456,DESC816016,Madagascar
DESC146455,DESC146456,Antananarivo
DESC866415,DESC146456,Nossi Comba
DESC1044617,DESC154021,Sao Tomé-et-Principe
DESC144397,DESC1160884,Amérique
DESC144396,DESC144397,Amérique du Nord
DESC150729,DESC144396,Amérique Centrale
DESC153966,DESC150729,Belize
DESC153967,DESC150729,Costa Rica
DESC153523,DESC150729,Guatemala
DESC1047700,DESC153523,Chichicastenango
DESC68150,DESC150729,Honduras
DESC153470,DESC150729,Nicaragua
DESC150728,DESC150729,Panama
DESC153503,DESC150729,Salvador
DESC153969,DESC144396,Antilles
DESC153970,DESC153969,Barbade (La)
DESC136713,DESC153969,Cuba
DESC155339,DESC136713,La Havane
DESC153971,DESC153969,Curaçao
DESC895189,DESC153969,Grandes Antilles
DESC148845,DESC153969,Guadeloupe
DESC1144575,DESC148845,Le Gosier
DESC153972,DESC153969,Haïti
DESC136899,DESC153969,Jamaïque
DESC923520,DESC153969,Marie-Galante
DESC136960,DESC153969,Martinique
DESC1166869,DESC136960,Fort-de-France
DESC1075062,DESC153969,Montserrat
DESC895188,DESC153969,Petites Antilles
DESC136741,DESC153969,Porto-Rico
DESC153208,DESC153969,République dominicaine
DESC146988,DESC153969,Sainte-Lucie
DESC146105,DESC153969,Trinidad et Tobago
DESC1002853,DESC146105,Port of Spain
DESC144410,DESC144396,Canada
DESC816054,DESC144410,Colombie-Britannique
DESC816055,DESC816054,Haïda Gwaïi
DESC878987,DESC144410,Manitoba
DESC878988,DESC878987,Winnipeg
DESC733385,DESC144410,Nouvelle Ecosse
DESC1129767,DESC733385,Ile de Cape Breton
DESC1017737,DESC144410,Nunavut
DESC1017738,DESC1017737,Ile de Baffin
DESC144412,DESC144410,Ottawa
DESC153695,DESC144410,Québec (Province)
DESC1020853,DESC153695,Jonquières
DESC1020874,DESC153695,Laval (Canada)
DESC152081,DESC153695,Montréal (Canada)
DESC1165962,DESC153695,Nunavik
DESC153701,DESC153695,Québec (ville)
DESC153703,DESC153695,Saint-Hyacinthe
DESC1131586,DESC144410,Saskatchewan
DESC144413,DESC144410,Toronto
DESC140717,DESC144410,Vancouver
DESC144414,DESC144410,Yellowknife
DESC147356,DESC144396,Etats-Unis
DESC1016866,DESC147356,Alabama
DESC147358,DESC147356,Alaska
DESC870742,DESC147358,Ile Kodiak
DESC147359,DESC147356,Albuquerque
DESC147362,DESC147356,Altoona
DESC147363,DESC147356,Alva
DESC138587,DESC147356,Ann Arbor
DESC147364,DESC147356,Appalaches
DESC991679,DESC147356,Arizona
DESC147365,DESC147356,Asheville
DESC140785,DESC147356,Atlanta
DESC147366,DESC147356,Atlantic City
DESC147367,DESC147356,Baltimore
DESC147352,DESC147356,Boston
DESC147373,DESC147356,Buffalo
DESC147374,DESC147356,Californie
DESC147418,DESC147374,Los Angeles
DESC68499,DESC147418,Hollywood
DESC1115852,DESC147374,San Jose
DESC1122867,DESC147374,Santa Barbara
DESC1149093,DESC147374,Sepulveda
DESC147375,DESC147356,Caroline du Nord
DESC147378,DESC147356,Chatham
DESC147379,DESC147356,Chestertown
DESC147380,DESC147356,Chicago
DESC147381,DESC147356,Cincinnati
DESC1016867,DESC147356,Claremont
DESC147382,DESC147356,Cleveland
DESC143261,DESC147356,Colorado
DESC147383,DESC147356,Connecticut
DESC147384,DESC147356,Conway
DESC147385,DESC147356,Cornwall
DESC147387,DESC147356,Danville
DESC147388,DESC147356,Detroit
DESC147389,DESC147356,Dulwich
DESC147390,DESC147356,Durham (Caroline du Nord)
DESC147391,DESC147356,Edgeware
DESC147392,DESC147356,El Paso
DESC147398,DESC147356,Floride
DESC147400,DESC147356,Fullerton
DESC1001656,DESC147356,Galax
DESC1020951,DESC147356,Georgia (USA)
DESC1021015,DESC1020951,Decatur
DESC1020952,DESC1020951,Talbotton
DESC147402,DESC147356,Greensboro
DESC147403,DESC147356,Guilford
DESC147404,DESC147356,Hastings
DESC147405,DESC147356,Hawaï
DESC147406,DESC147356,Illinois
DESC147407,DESC147356,Indiana
DESC147408,DESC147356,Iowa
DESC994787,DESC147356,Ithaca
DESC147409,DESC147356,Kalamazoo
DESC147411,DESC147356,Kansas City
DESC1013982,DESC147356,Kentucky
DESC1013983,DESC1013982,Louisville
DESC147413,DESC147356,La Nouvelle Orléans
DESC147414,DESC147356,Lawton
DESC1001629,DESC147356,Leicester
DESC999197,DESC147356,Lewiston (Maine)
DESC147417,DESC147356,Long Island
DESC147418,DESC147356,Los Angeles
DESC68499,DESC147418,Hollywood
DESC147419,DESC147356,Louisiane
DESC147421,DESC147356,Lynn
DESC139805,DESC147356,Maine
DESC967742,DESC147356,Marlboro
DESC1031587,DESC147356,Maryland
DESC147422,DESC147356,Massachusetts
DESC147352,DESC147422,Boston
DESC1011229,DESC147422,Lowell
DESC1122930,DESC147422,Newton
DESC147424,DESC147356,Memphis (Tennessee)
DESC147425,DESC147356,Miami
DESC146178,DESC147356,Michigan
DESC998726,DESC147356,Milwaukee
DESC147427,DESC147356,Minneapolis
DESC147428,DESC147356,Minnesota
DESC726319,DESC147356,Mississippi
DESC1029703,DESC147356,Missouri
DESC147429,DESC147356,Montana
DESC147432,DESC147356,Nashville
DESC147433,DESC147356,Nazareth
DESC147434,DESC147356,Nevada
DESC147435,DESC147356,New Hampshire
DESC151516,DESC147435,Berlin (New Hampshire)
DESC145527,DESC147356,New Haven (CT)
DESC147437,DESC147356,New Jersey
DESC1031668,DESC147437,Jersey City
DESC147438,DESC147356,New York
DESC154011,DESC147438,Brooklyn
DESC153263,DESC147438,Harlem
DESC955279,DESC147356,New York State
DESC1012745,DESC955279,Clifton Springs
DESC1123427,DESC955279,Newburgh
DESC1093354,DESC955279,Norwich
DESC1122934,DESC955279,Williamsville
DESC1021109,DESC955279,Woodstock (NY)
DESC1034482,DESC147356,Newport
DESC147442,DESC147356,Northville
DESC147443,DESC147356,Nouveau-Mexique
DESC821545,DESC147356,Nouvelle-Angleterre
DESC147444,DESC147356,Oakland
DESC147445,DESC147356,Oberlin
DESC147446,DESC147356,Ohio
DESC147447,DESC147356,Okemos
DESC147448,DESC147356,Oklahoma
DESC931831,DESC147356,Omaha
DESC902909,DESC147356,Orange (New Jersey)
DESC147449,DESC147356,Oregon
DESC147453,DESC147449,Portland (Oregon)
DESC139833,DESC147356,Pennsylvanie
DESC147450,DESC147356,Philadelphie
DESC991680,DESC147356,Phoenix
DESC147451,DESC147356,Pittsburg
DESC147452,DESC147356,Port Townsend
DESC985532,DESC147356,Portland (Maine)
DESC147453,DESC147356,Portland (Oregon)
DESC147454,DESC147356,Provo (Utah)
DESC147455,DESC147356,Queens
DESC1002253,DESC147356,Redwood City
DESC141314,DESC147356,Rhode Island
DESC147458,DESC147356,Saint-Louis
DESC147459,DESC147356,Saint-Paul (Minnesota)
DESC147460,DESC147356,Salem
DESC142633,DESC147356,Salt Lake City
DESC146782,DESC147356,San Francisco
DESC147462,DESC147356,Santa Ana
DESC147463,DESC147356,Seattle
DESC944332,DESC147356,Shenandoah
DESC147467,DESC147356,Springfield
DESC147468,DESC147356,Staunton
DESC147469,DESC147356,Tacoma
DESC147470,DESC147356,Tallahassee
DESC147471,DESC147356,Tampa (Floride)
DESC147472,DESC147356,Tennessee
DESC137231,DESC147356,Texas
DESC952572,DESC137231,Dallas
DESC973739,DESC147356,Utica
DESC139542,DESC147356,Vermillion
DESC141317,DESC147356,Vermont
DESC147474,DESC147356,Virginie
DESC1019559,DESC147474,Jamestown
DESC1023013,DESC147474,Williamsburg
DESC141557,DESC147356,Washington (Etat)
DESC883277,DESC141557,Olympia
DESC147476,DESC147356,Washington D.C.
DESC140851,DESC147356,Watertown
DESC147478,DESC147356,Weston
DESC147481,DESC147356,Winchester
DESC147482,DESC147356,Winston-Salem
DESC147483,DESC147356,Wisconsin
DESC147484,DESC147356,Wooster
DESC140228,DESC147356,Worcester
DESC147486,DESC147356,Yale
DESC139828,DESC147356,York
DESC144398,DESC144396,Groenland
DESC153975,DESC144396,Mexique
DESC1092771,DESC153975,Jalisco (état de)
DESC139433,DESC153975,Mexico
DESC147706,DESC153975,Oaxaca
DESC834098,DESC153975,Paracho
DESC146047,DESC153975,Veracruz
DESC144399,DESC144396,Saint-Pierre-et-Miquelon
DESC153979,DESC144397,Amérique du Sud
DESC148822,DESC153979,Argentine
DESC154763,DESC148822,Buenos-Aires
DESC148787,DESC153979,Bolivie
DESC140700,DESC148787,Conception
DESC1106550,DESC148787,La Paz
DESC944030,DESC148787,Santa ana (Pueblo)
DESC944029,DESC148787,Sucre
DESC140690,DESC148787,Tarata
DESC153988,DESC153979,Brésil
DESC139814,DESC153988,Acre
DESC139817,DESC153988,Alagoas
DESC139811,DESC153988,Amapa
DESC139789,DESC153988,Amazonas
DESC67877,DESC153988,Amazonie
DESC153989,DESC153988,Bahia
DESC139800,DESC153988,Ceara
DESC139795,DESC153988,Maranhao
DESC899173,DESC153988,Mato Grosso (Brésil)
DESC139777,DESC153988,Minas Gerais
DESC68366,DESC153988,Nordeste
DESC139791,DESC153988,Para (Brésil)
DESC139806,DESC153988,Paraiba
DESC139808,DESC153988,Pernambuco
DESC139798,DESC153988,Piaui
DESC139823,DESC153988,Recife
DESC151299,DESC153988,Rio de Janeiro
DESC139826,DESC153988,Rio Grande do Norte
DESC139802,DESC153988,Roraima
DESC139781,DESC153988,Salvador (Brésil)
DESC153990,DESC153988,Sao Paulo
DESC139820,DESC153988,Sergipe
DESC153980,DESC153979,Chili
DESC881807,DESC153980,Ile de Pâques
DESC998928,DESC153980,Santiago
DESC138494,DESC153979,Colombie
DESC150677,DESC138494,Bogota
